District,Province,Physiographic_Region,Elevation_Range_m,Climate_Zone,Feasible_Crops,Feasible_Vegetables,Feasible_Fruits,Feasible_Spices_Cash_Crops,Reasoning_For_Feasibility
Dang,Lumbini,Inner Terai/Valley,200-1000,Tropical to Subtropical,"Paddy, Maize, Wheat, Millet, Lentil, Black Gram, Mustard, Sunflower, Soybean, Ginger","Tomato, Cauliflower, Cabbage, Brinjal, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Potato, Peas, Beans","Mango, Banana, Litchi, Jackfruit, Guava, Lemon, Orange, Peach, Plum","Ginger, Turmeric, Mustard, Sunflower, Soybean, Cardamom (small scale)",Inner Terai valley (Ghorahi); Rapti basin; highest oilseed producer in Province 5 (38% of provincial output); subtropical climate; diverse topography allows multiple crops; ginger production significant.
Eastern Rukum,Lumbini,Hill,800-2500,Subtropical to Temperate,"Paddy, Maize, Wheat, Millet, Barley, Buckwheat, Soybean, Amaranth, Potato","Tomato, Cauliflower, Cabbage, Brinjal, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Potato, Peas, Beans, Carrot, Turnip","Orange, Lemon, Mandarin, Peach, Plum, Pear, Persimmon, Apple (higher areas)","Ginger, Turmeric, Cardamom, Honey, Medicinal Herbs",Western mid-hills; 800-2500m; subtropical to temperate; suitable for diverse hill crops and fruits.
Gulmi,Lumbini,Hill,800-2000,Subtropical to Mild Temperate,"Paddy, Maize, Wheat, Millet, Barley, Buckwheat, Soybean, Amaranth, Potato","Tomato, Cauliflower, Cabbage, Brinjal, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Potato, Peas, Beans, Carrot, Turnip","Orange, Lemon, Mandarin, Peach, Plum, Pear, Persimmon","Ginger, Turmeric, Cardamom, Coffee, Honey, Medicinal Herbs","Western mid-hills; Tamghas area; 800-2000m; subtropical to mild temperate; significant agricultural land (30,000-40,000 ha); suitable for diverse hill crops and fruits."
Kapilvastu,Lumbini,Terai,100-300,Tropical (Lower/Upper),"Paddy, Maize, Wheat, Sugarcane (dominant), Lentil, Black Gram, Mustard, Sunflower, Peanut","Tomato, Cauliflower, Cabbage, Brinjal, Okra, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Potato","Mango, Banana, Litchi, Jackfruit, Guava, Lemon","Ginger, Turmeric, Mustard, Sunflower, Peanut, Sugarcane","Western Terai; Taulihawa area; dominates sugarcane production (90% of provincial output); 60,000+ ha agricultural land; highly fertile alluvial soil; excellent for commercial agriculture."
Nawalparasi West (Parasi),Lumbini,Terai/Hill,100-1500,Tropical to Subtropical,"Paddy, Maize, Wheat, Sugarcane, Lentil, Black Gram, Millet","Tomato, Cauliflower, Cabbage, Brinjal, Okra, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Potato","Mango, Banana, Litchi, Jackfruit, Guava, Lemon, Orange","Ginger, Turmeric, Mustard, Sunflower",Western Terai transitioning to hills; Narayani and West Rapti basins; fertile Terai portion suitable for cereals and tropical crops; hill portion for subtropical fruits.
Palpa,Lumbini,Hill,800-2000,Subtropical to Mild Temperate,"Paddy, Maize, Wheat, Millet, Barley, Buckwheat, Soybean, Amaranth, Potato","Tomato, Cauliflower, Cabbage, Brinjal, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Potato, Peas, Beans, Carrot, Turnip","Orange, Lemon, Mandarin, Peach, Plum, Pear, Persimmon, Mango (lower areas)","Ginger (45% of provincial production), Turmeric, Cardamom, Coffee, Honey","Western mid-hills; Tansen area; 800-2000m; highest ginger producing district in Province 5 (45% of total); subtropical to mild temperate; excellent for ginger, citrus and diverse hill crops."
Pyuthan,Lumbini,Hill,800-2000,Subtropical to Mild Temperate,"Paddy, Maize, Wheat, Millet, Barley, Buckwheat, Soybean, Amaranth, Potato","Tomato, Cauliflower, Cabbage, Brinjal, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Potato, Peas, Beans, Carrot, Turnip","Orange, Lemon, Mandarin, Peach, Plum, Pear, Persimmon","Ginger, Turmeric, Cardamom, Coffee, Honey",Western mid-hills; 800-2000m; subtropical to mild temperate; food deficit district; suitable for hill cereals and vegetables.
Rolpa,Lumbini,Hill,800-2500,Subtropical to Temperate,"Paddy, Maize, Wheat, Millet, Barley, Buckwheat, Soybean, Amaranth, Potato","Tomato, Cauliflower, Cabbage, Brinjal, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Potato, Peas, Beans, Carrot, Turnip","Orange, Lemon, Mandarin, Peach, Plum, Pear, Persimmon, Apple (higher areas)","Ginger, Turmeric, Cardamom, Honey, Medicinal Herbs",Western mid-hills; 800-2500m; food deficit district; subtropical to temperate; suitable for diverse hill crops.
Rupandehi,Lumbini,Terai,100-300,Tropical (Lower/Upper),"Paddy, Maize, Wheat, Sugarcane, Lentil, Black Gram, Mustard, Sunflower, Peanut","Tomato, Cauliflower, Cabbage, Brinjal, Okra, Cucumber, Pumpkin, Bottle Gourd, Bitter Gourd, Ridge Gourd, Sponge Gourd, Spinach, Radish, Onion, Garlic, Chili, Coriander, Peas, Beans, Potato, Yam, Elephant Foot Yam, Giant Taro","Mango, Banana, Litchi, Jackfruit, Guava, Lemon, Sweet Lime, Pomegranate","Ginger, Turmeric, Mustard, Sunflower, Peanut, Chili","Western Terai; Butwal-Lumbini area; 50 commercial vegetable species documented; 15 vegetable pocket areas; highest cereal production in Province 5 (865,270 MT); excellent irrigation and market access; major agricultural hub."
Dailekh,Karnali,Hill,800-2500,Subtropical to Temperate,"Paddy, Maize, Wheat, Millet, Barley, Buckwheat, Soybean, Amaranth, Potato","Tomato, Cauliflower, Cabbage, Brinjal, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Potato, Peas, Beans, Carrot, Turnip","Orange, Lemon, Mandarin, Peach, Plum, Pear, Persimmon, Apple (higher areas)","Ginger, Turmeric, Cardamom, Honey, Medicinal Herbs",Mid-western hills; 800-2500m; subtropical to temperate; goat meat production significant; suitable for diverse hill crops.
Dolpa,Karnali,Mountain,2500-4500,Temperate to Subalpine,"Barley, Buckwheat, Amaranth, Potato, Cold-tolerant Wheat, Millet","Cabbage, Spinach, Radish, Onion, Garlic, Potato, Peas, Beans, Turnip, Cole Crops","Apple, Apricot, Seabuckthorn","Medicinal Herbs, Szechuan Pepper, Honey, Yarsagumba","High mountain district; Shey Phoksundo; 2500-4500m; cold and dry; trans-Himalayan influence; suitable for cold-tolerant crops, apples, medicinal herbs and yak pastoralism."
Humla,Karnali,Mountain,2500-4500,Temperate to Subalpine,"Barley, Buckwheat, Amaranth, Potato, Millet, Wheat, Beans","Cabbage, Spinach, Radish, Onion, Garlic, Potato, Peas, Beans, Turnip, Cole Crops","Apple, Walnut, Apricot, Peach, Plum, Pear, Seabuckthorn","Medicinal Herbs, Szechuan Pepper, Honey, Yarsagumba","High mountain district; Limi valley; 2500-4500m; trans-Himalayan; very cold and dry; suitable for cold-tolerant crops, apples and medicinal herbs; famous for Limi wool and yak products."
Jajarkot,Karnali,Hill,800-2500,Subtropical to Temperate,"Paddy, Maize, Wheat, Millet, Barley, Buckwheat, Soybean, Amaranth, Potato","Tomato, Cauliflower, Cabbage, Brinjal, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Potato, Peas, Beans, Carrot, Turnip","Orange, Lemon, Mandarin, Peach, Plum, Pear, Persimmon, Apple (higher areas)","Ginger, Turmeric, Cardamom, Honey, Medicinal Herbs",Mid-western hills; 800-2500m; subtropical to temperate; suitable for diverse hill crops and fruits.
Jumla,Karnali,Mountain,2500-4000,Temperate to Subalpine,"Barley, Buckwheat, Amaranth, Potato, Cold-tolerant Rice (Jumli Marshi), Millet, Wheat, Beans","Cabbage, Spinach, Radish, Onion, Garlic, Potato, Peas, Beans, Turnip, Cole Crops, Carrot","Apple (6,799 MT - highest producer), Walnut, Apricot, Peach, Plum, Pear, Seabuckthorn","Medicinal Herbs, Szechuan Pepper, Honey, Yarsagumba","High mountain district; 2500-4000m; highest apple producer nationally (6,799 MT); famous Jumli Marshi rice (cold-tolerant); temperate to subalpine; unique high-altitude agriculture; excellent for apples, walnuts, buckwheat and medicinal herbs."
Kalikot,Karnali,Mountain,2000-4000,Temperate to Subalpine,"Barley, Buckwheat, Amaranth, Potato, Millet, Wheat, Beans","Cabbage, Spinach, Radish, Onion, Garlic, Potato, Peas, Beans, Turnip, Cole Crops","Apple, Walnut, Apricot, Peach, Plum, Pear","Medicinal Herbs, Szechuan Pepper, Honey","High mountain district; 2000-4000m; Karnali region; temperate to subalpine; suitable for cold-tolerant crops, apples and medicinal herbs."
Mugu,Karnali,Mountain,2500-4500,Temperate to Subalpine,"Barley, Buckwheat, Amaranth, Potato, Millet, Wheat, Beans","Cabbage, Spinach, Radish, Onion, Garlic, Potato, Peas, Beans, Turnip, Cole Crops","Apple, Walnut, Apricot, Peach, Plum, Pear, Seabuckthorn","Medicinal Herbs, Szechuan Pepper, Honey, Yarsagumba","High mountain district; Rara Lake area; 2500-4500m; temperate to subalpine; suitable for cold-tolerant crops, apples and high-value medicinal herbs."
Salyan,Karnali,Hill,800-2500,Subtropical to Temperate,"Paddy, Maize, Wheat, Millet, Barley, Buckwheat, Soybean, Amaranth, Potato","Tomato, Cauliflower, Cabbage, Brinjal, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Potato, Peas, Beans, Carrot, Turnip","Orange, Lemon, Mandarin, Peach, Plum, Pear, Persimmon, Apple (higher areas)","Ginger, Turmeric, Cardamom, Honey, Medicinal Herbs",Mid-western hills; 800-2500m; subtropical to temperate; suitable for diverse hill crops.
Surkhet,Karnali,Hill/Valley,500-2000,Tropical to Mild Temperate,"Paddy, Maize, Wheat, Millet, Barley, Buckwheat, Soybean, Amaranth, Potato, Lentil","Tomato, Cauliflower, Cabbage, Brinjal, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Potato, Peas, Beans, Carrot, Turnip","Mango (highest producer, 400 MT), Banana, Orange, Lemon, Mandarin, Peach, Plum, Pear, Persimmon","Ginger, Turmeric, Cardamom, Honey, Medicinal Herbs",Mid-western hill valley; Birendranagar; 500-2000m; Bheri basin; highest mango producer; subtropical to mild temperate; suitable for diverse crops from tropical to temperate.
Western Rukum,Karnali,Hill,800-2500,Subtropical to Temperate,"Paddy, Maize, Wheat, Millet, Barley, Buckwheat, Soybean, Amaranth, Potato","Tomato, Cauliflower, Cabbage, Brinjal, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Potato, Peas, Beans, Carrot, Turnip","Orange, Lemon, Mandarin, Peach, Plum, Pear, Persimmon, Apple (higher areas)","Ginger, Turmeric, Cardamom, Honey, Medicinal Herbs",Mid-western hills; 800-2500m; subtropical to temperate; suitable for diverse hill crops and fruits.
Achham,Sudurpashchim,Hill,800-2500,Subtropical to Temperate,"Paddy, Maize, Wheat, Millet, Barley, Buckwheat, Soybean, Amaranth, Potato","Tomato, Cauliflower, Cabbage, Brinjal, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Potato, Peas, Beans, Carrot, Turnip","Orange, Lemon, Mandarin, Peach, Plum, Pear, Persimmon, Apple (higher areas)","Ginger, Turmeric, Cardamom, Honey, Medicinal Herbs",Far-western hills; 800-2500m; subtropical to temperate; suitable for diverse hill crops.
Baitadi,Sudurpashchim,Hill,800-2500,Subtropical to Temperate,"Paddy, Maize, Wheat, Millet, Barley, Buckwheat, Soybean, Amaranth, Potato","Tomato, Cauliflower, Cabbage, Brinjal, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Potato, Peas, Beans, Carrot, Turnip","Orange, Lemon, Mandarin, Peach, Plum, Pear, Persimmon, Apple (higher areas)","Ginger, Turmeric, Cardamom, Honey, Medicinal Herbs",Far-western hills; 800-2500m; subtropical to temperate; suitable for diverse hill crops.
Bajhang,Sudurpashchim,Mountain,2000-4000,Temperate to Subalpine,"Barley, Buckwheat, Amaranth, Potato, Millet, Wheat, Beans","Cabbage, Spinach, Radish, Onion, Garlic, Potato, Peas, Beans, Turnip, Cole Crops","Apple, Walnut, Apricot, Peach, Plum, Pear, Seabuckthorn","Medicinal Herbs, Szechuan Pepper, Honey, Yarsagumba","Far-western mountain; 2000-4000m; Saipal region; temperate to subalpine; suitable for cold-tolerant crops, apples and medicinal herbs."
Bajura,Sudurpashchim,Mountain,2000-4000,Temperate to Subalpine,"Barley, Buckwheat, Amaranth, Potato, Millet, Wheat, Beans, Jumli Marshi Rice","Cabbage, Spinach, Radish, Onion, Garlic, Potato, Peas, Beans, Turnip, Cole Crops, Carrot","Apple, Walnut, Apricot, Peach, Plum, Pear, Seabuckthorn, Banana (lower areas)","Medicinal Herbs, Szechuan Pepper, Honey, Yarsagumba","Far-western mountain; 2000-4000m; Budhinanda area; value chain development for apple, potato, beans, walnut; temperate to subalpine; suitable for cold-tolerant crops and high-value mountain products."
Dadeldhura,Sudurpashchim,Hill,800-2500,Subtropical to Temperate,"Paddy, Maize, Wheat, Millet, Barley, Buckwheat, Soybean, Amaranth, Potato","Tomato, Cauliflower, Cabbage, Brinjal, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Potato, Peas, Beans, Carrot, Turnip","Orange, Lemon, Mandarin, Peach, Plum, Pear, Persimmon, Apple (higher areas)","Ginger, Turmeric, Cardamom, Honey, Medicinal Herbs",Far-western hills; 800-2500m; subtropical to temperate; Dadeldhura area; suitable for diverse hill crops.
Darchula,Sudurpashchim,Mountain,2000-4000,Temperate to Subalpine,"Barley, Buckwheat, Amaranth, Potato, Millet, Wheat, Beans","Cabbage, Spinach, Radish, Onion, Garlic, Potato, Peas, Beans, Turnip, Cole Crops","Apple, Walnut, Apricot, Peach, Plum, Pear, Seabuckthorn","Medicinal Herbs, Szechuan Pepper, Honey, Yarsagumba",Far-western mountain; 2000-4000m; Mahakali valley; temperate to subalpine; suitable for cold-tolerant crops and high-value mountain products.
Doti,Sudurpashchim,Hill,800-2500,Subtropical to Temperate,"Paddy, Maize, Wheat, Millet, Barley, Buckwheat, Soybean, Amaranth, Potato","Tomato, Cauliflower, Cabbage, Brinjal, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Potato, Peas, Beans, Carrot, Turnip","Orange, Lemon, Mandarin, Peach, Plum, Pear, Persimmon, Apple (higher areas)","Ginger, Turmeric, Cardamom, Honey, Medicinal Herbs",Far-western hills; 800-2500m; subtropical to temperate; Dipayal area; suitable for diverse hill crops and fruits.
Kailali,Sudurpashchim,Terai,100-300,Tropical (Lower/Upper),"Paddy, Maize, Wheat, Lentil, Black Gram, Mustard, Sunflower, Sugarcane","Tomato, Cauliflower, Cabbage, Brinjal, Okra, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Potato","Mango, Banana, Litchi, Jackfruit, Guava, Lemon","Ginger, Turmeric, Mustard, Sunflower","Far-western Terai; Dhangadhi hub; Karnali and Mohana river basins; highest wheat producing district (5,390 MT nationally); fertile alluvial soil; good for cereals and oilseeds."
Kanchanpur,Sudurpashchim,Terai,100-300,Tropical (Lower/Upper),"Paddy, Maize, Wheat, Lentil, Black Gram, Mustard, Sunflower, Sugarcane","Tomato, Cauliflower, Cabbage, Brinjal, Okra, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Potato","Mango, Banana, Litchi, Jackfruit, Guava, Lemon","Ginger, Turmeric, Mustard, Sunflower","Far-western Terai; Mahendranagar area; Mahakali river basin; fertile soil; highest rice producing district nationally (40,323 MT); excellent for cereal production."
